"Path","Category","FieldID","Field","Participants","Items","Stability","ValueType","Units","ItemType","Strata","Sexed","Instances","Array","Coding","Notes","Link"
"Assessment centre > Touchscreen > Lifestyle and environment > Alcohol",100051,4462,"Average monthly intake of other alcoholic drinks",57053,63592,"Complete","Integer","glasses","Data","Primary","Unisex",4,1,100291,"ACE touchscreen question \"In an average MONTH, how many glasses of other alcoholic drinks (such as alcopops) would you drink?\" The following checks were performed:  If answer    Field 4462 was collected from participants who indicated they drink alcohol on special occasions or one to three times a month, as defined by their answers to Field 1558","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4462"
"Assessment centre > Touchscreen > Family history",100034,4501,"Non-accidental death in close genetic family",228144,271385,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100349,"Introduced part way through fieldwork in April 2009.  ACE touchscreen question \"Have any of your mother, father, brothers or sisters died suddenly from a non-accidental cause? (Do not include half-, step- or adopted brothers and sisters)\"","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4501"
"Assessment centre > Touchscreen > Psychosocial factors > Mental health",100060,4526,"Happiness",231287,275256,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100478,"ACE touchscreen question \"In general how happy are you?\"  Question was introduced into the touchscreen interview part way through fieldwork in April 2009.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4526"
"Assessment centre > Touchscreen > Psychosocial factors > Mental health",100060,4537,"Work/job satisfaction",231287,275256,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100479,"ACE touchscreen question \"In general how satisfied are you with the WORK that you do?\"  Question was introduced part way through fieldwork in April 2009.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4537"
"Assessment centre > Touchscreen > Psychosocial factors > Mental health",100060,4548,"Health satisfaction",231287,275256,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100478,"ACE touchscreen question \"In general how satisfied are you with your HEALTH?\"  Question was introduced part way through fieldwork in April 2009.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4548"
"Assessment centre > Touchscreen > Psychosocial factors > Mental health",100060,4559,"Family relationship satisfaction",231287,275256,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100478,"ACE touchscreen question \"In general how satisfied are you with your FAMILY RELATIONSHIPS?\"  Question was introduced part way through fieldwork in April 2009.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4559"
"Assessment centre > Touchscreen > Psychosocial factors > Mental health",100060,4570,"Friendships satisfaction",231287,275256,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100478,"ACE touchscreen question \"In general how satisfied are you with your FRIENDSHIPS?\"  Question was introduced part way through fieldwork in April 2009.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4570"
"Assessment centre > Touchscreen > Psychosocial factors > Mental health",100060,4581,"Financial situation satisfaction",231287,275256,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100478,"ACE touchscreen question \"In general how satisfied are you with your FINANCIAL SITUATION?\"  Question was introduced part way through fieldwork in April 2009.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4581"
"Assessment centre > Touchscreen > Psychosocial factors > Mental health",100060,4598,"Ever depressed for a whole week",231287,275256,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100349,"ACE touchscreen question \"Looking back over your life, have you ever had a time when you were feeling depressed or down for at least a whole week?\"  Question was introduced part way through fieldwork in April 2009.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4598"
"Assessment centre > Touchscreen > Psychosocial factors > Mental health",100060,4609,"Longest period of depression",122250,139861,"Complete","Integer","weeks","Data","Primary","Unisex",4,1,100291,"ACE touchscreen question \"How many weeks was the longest period when you were feeling depressed or down?\"  Question was introduced part way through fieldwork in April 2009.  The following checks were performed:    If answer    If answer > 999 then rejected     Field 4609 was collected from participants who indicated they have felt depressed or down for at least a whole week, as defined by their answers to Field 4598","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4609"
"Assessment centre > Touchscreen > Psychosocial factors > Mental health",100060,4620,"Number of depression episodes",122250,139861,"Complete","Integer","periods","Data","Primary","Unisex",4,1,100291,"ACE touchscreen question \"How many periods have you had when you were feeling depressed or down for at least a whole week?\"  Question was introduced part way through fieldwork in April 2009.  The following checks were performed:    If answer    If answer > 9999 then rejected     Field 4620 was collected from participants who indicated they have felt depressed or down for at least a whole week, as defined by their answers to Field 4598","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4620"
